"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"REICHELT";"REICHELT_EU";"REICHELT_LNK";"SPICEPREFIX";"VALUE";
"NWS1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"NWS2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"OPT_LED";"";"CON-HARTING-ML_ML08";"CON-HARTING-ML_ML08";"Modified by Hardi";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"OUT_A";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_B";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_C";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_D";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_E";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_F";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_G";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"OUT_H";"";"STL1550-3";"STL1550-3_ON_BOARD";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";
"R1";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R2";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R3";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R4";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R5";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R6";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R7";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R8";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R9";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R10";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R11";"150";"RCL_R-EU_0207/2V";"RCL_0207/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";"";
"R12";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R13";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R14";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R15";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R16";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R17";"470";"R0204/2V";"0204/2V";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"RES_G1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"RES_G2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"RES_H";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"RN1";"";"G07R";"SIL8";"SIL RESISTOR";"";"";"unknown";"unknown";"0";"";"";"";"";"";"";
"RN2";"";"G07R";"SIL8";"SIL RESISTOR";"";"";"unknown";"unknown";"0";"";"";"";"";"";"";
"SINGLE";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"SV3";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"SV4";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"TERM";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"U2R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U3H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"U4R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U5H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"U5R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U6H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"U7R";"WS2811";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICTINY45-20-DIP";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811_DIP08";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"IC-09439";"";"";"";"";"TINY45-20-DIP";
"U8H";"WS2811 SOT-8";"S3PO_MODUL_WS2811_SOUND_MP3-TF-16P_WS2811_AND_ATTINY_WS2811-ICSOP8";"SOP8";"Die Pin nummern im Dokument https://cdn-shop.adafruit.com/datasheets/WS2811.pdf";"";"";"";"";"";"";"";"";"";"";"";
"WS1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"WS2";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"WS3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
"WS4";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";
